variable,group,n,pct_missing,mean,std,min,p25,median,p75,max
res_price_cents_kwh,Overall,1734.0,0.0,17.2447693194925,6.442069743785873,9.27,13.1525,14.91,18.3975,45.39
dc_mw_per_res_mkwh,Overall,1734.0,0.0,0.16790327174638336,0.4593012912477887,0.0,0.0,0.009027326623913432,0.11452514422638203,4.101416943858398
ln_generation_mwh_total,Overall,1734.0,0.0,13.392356948356486,3.726264492063162,0.0,13.085442799812274,14.895369189115057,15.56202457376495,17.078795611177004
share_coal,Overall,1671.0,3.633217993079585,0.22058742263277822,0.2583753703065253,0.0,0.0,0.12796467714619636,0.3588845721101857,0.9815430406795789
share_gas,Overall,1671.0,3.633217993079585,0.35708587953358784,0.2686456454954635,0.0,0.1315451620928917,0.327904558327042,0.5270688612708658,0.9990860670655337
share_nuclear,Overall,1671.0,3.633217993079585,0.11071783739692684,0.1675827769453751,0.0,0.0,0.0,0.2263575119983544,0.6386011911027588
fuel_cost_proxy,Overall,1734.0,0.0,-0.01077463150043785,0.5125337102749902,-1.1645492160909077,-0.19673028188747763,-0.0031750038729636146,0.11112044457024413,11.390130410201788
res_price_cents_kwh,No DC in state,714.0,0.0,18.856610644257703,7.964229144079776,9.75,13.05,15.5,23.9175,45.39
dc_mw_per_res_mkwh,No DC in state,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ln_generation_mwh_total,No DC in state,714.0,0.0,11.493560286974336,4.794280479521537,0.0,9.132992631579068,13.550819527826464,14.839594109416161,17.078795611177004
share_coal,No DC in state,651.0,8.823529411764707,0.23729717807490805,0.30098958797446235,0.0,0.0,0.07071540019731254,0.4295726459554685,0.9815430406795789
share_gas,No DC in state,651.0,8.823529411764707,0.2661055515780618,0.27336612510708264,0.0,0.0051717545273290135,0.15674590944316574,0.4725097958307319,0.9657636072280856
share_nuclear,No DC in state,651.0,8.823529411764707,0.05187703240712194,0.11096027972525896,0.0,0.0,0.0,0.0,0.46699272333736075
fuel_cost_proxy,No DC in state,714.0,0.0,-0.036294597065319525,0.47538441636914325,-1.1645492160909077,-0.21468539737606662,0.0,0.006372540653041228,4.4206436942607255
res_price_cents_kwh,Has DC in state,1020.0,0.0,16.11648039215686,4.8065241139013395,9.27,13.19,14.74,17.145,34.55
dc_mw_per_res_mkwh,Has DC in state,1020.0,0.0,0.28543556196885167,0.5702562132173764,0.0008167615644912583,0.023029804398463,0.09568698211156929,0.3058850738197063,4.101416943858398
ln_generation_mwh_total,Has DC in state,1020.0,0.0,14.721514611323993,1.7990627759417734,7.746274721557758,14.70650585846547,15.378836217969944,15.749336048619043,16.348958907723702
share_coal,Has DC in state,1020.0,0.0,0.20992266695353656,0.22655248335533879,0.0,0.0,0.14708500429823368,0.3303817230037248,0.8612654327530691
share_gas,Has DC in state,1020.0,0.0,0.415152735905203,0.24888965584912312,0.0,0.23168288648313487,0.37643797431212134,0.5732530321182956,0.9990860670655337
share_nuclear,Has DC in state,1020.0,0.0,0.14827211587571407,0.18587218573842298,0.0,0.0,0.0,0.3034219133937006,0.6386011911027588
fuel_cost_proxy,Has DC in state,1020.0,0.0,0.007089344394979316,0.5365187269888309,-0.9153755712030027,-0.1938071723560746,-0.020067662781413996,0.14009285812915467,11.390130410201788
