,dtype,n_missing,pct_missing,n_unique
cost,object,346365,0.8063964127565061,4426
total-consumption-btu,object,44730,0.10413901965440653,89112
consumption-for-eg-btu,object,44730,0.10413901965440653,83262
total-consumption,object,44730,0.10413901965440653,45508
consumption-for-eg,object,44730,0.10413901965440653,42821
generation,object,19276,0.04487779438538655,122773
location,object,0,0.0,51
stateDescription,object,0,0.0,51
fueltypeid,object,0,0.0,45
fuelTypeDescription,object,0,0.0,43
period,object,0,0.0,34
sectorid,object,0,0.0,15
sectorDescription,object,0,0.0,15
consumption-for-eg-units,object,0,0.0,4
cost-units,object,0,0.0,4
total-consumption-units,object,0,0.0,4
consumption-for-eg-btu-units,object,0,0.0,1
generation-units,object,0,0.0,1
total-consumption-btu-units,object,0,0.0,1
